ID,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1574,10,Brighton Lane,Mohammed,Phillips,24,Husband,Married,Male,Police officer,None,None
1575,11,Brighton Lane,Lorraine,Holloway,18,Head,Married,Female,Student,None,NA
1576,11,Brighton Lane,Ashley,Holloway,22,Husband,Married,Male,University Student,None,NA
1577,12,Brighton Lane,Guy,Thomas,29,Head,Married,Male,"Programmer, multimedia",None,Christian
1578,12,Brighton Lane,Diana,Morris,28,Wife,Married,Female,"Designer, furniture",None,Christian
1579,12,Brighton Lane,Rita,Thomas,2,Daughter,NA,Female,Child,None,NA
1580,13,Brighton Lane,Catherine,Lewis,41,Head,Single,Female,Logistics and distribution manager,None,Catholic
1581,13,Brighton Lane,Carl,Lewis,10,Son,NA,Male,Student,None,NA
1582,14,Brighton Lane,Suzanne,Mills,33,Head,Married,Female,Theatre director,None,Muslim
1583,14,Brighton Lane,Maurice,Mills,41,Husband,Married,Male,Medical laboratory scientific officer,None,Muslim
1584,14,Brighton Lane,Paige,Mills,6,Daughter,NA,Female,Student,None,NA
1585,15,Brighton Lane,Bernard,Bennett,65,Head,Divorced,Male,Bonds trader,None,Christian
1586,15,Brighton Lane,Ashley,Fletcher,13,Grandson,NA,Male,Student,None,NA
1587,16,Brighton Lane,Scott,Stewart,66,Head,Widowed,Male,"Horticulturist, commercial",None,Christian
1588,17,Brighton Lane,Karen,Walsh,67,Head,Married,Female,Technical sales engineer,None,None
1589,17,Brighton Lane,Ricky,Walsh,68,Husband,Married,Male,"Retired Horticulturist, amenity",None,None
1590,18,Brighton Lane,Neil,Walton,71,Head,Widowed,Male,Retired Building services engineer,None,Christian
1591,18,Brighton Lane,Donna,Walton,40,Daughter,Single,NA,"Scientist, product/process development",NA,None
1592,18,Brighton Lane,Dawn,Walton,38,Daughter,Widowed,Female,Systems developer,None,None
1593,19,Brighton Lane,Hollie,Miah-Lynch,40,Head,Single,Female,Public relations officer,None,None
1594,19,Brighton Lane,Charlie,Miah-Lynch,15,Son,NA,Male,Student,None,NA
1595,20,Brighton Lane,Margaret,Pearson,32,Head,Single,Female,Charity officer,None,None
1596,20,Brighton Lane,Lucy,Pearson,2,Daughter,NA,Female,Child,None,NA
1597,20,Brighton Lane,Antony,Hudson,58,Lodger,Single,Male,Volunteer coordinator,None,None
1598,21,Brighton Lane,Margaret,Allen,25,Head,Single,Female,Network engineer,None,Methodist
1599,21,Brighton Lane,Diana,Johnson,24,None,Single,Female,Wellsite geologist,None,None
1600,22,Brighton Lane,Carolyn,Sanderson,50,Head,Married,Female,Armed forces technical officer,None,Christian
1601,22,Brighton Lane,Dylan,Sanderson,50,Husband,NA,Male,Building control surveyor,None,Christian
1602,22,Brighton Lane,Gerald,Sanderson,13,Son,NA,Male,Student,None,NA
1603,23,Brighton Lane,Leigh,Fisher,61,Head,Married,Male,Electronics engineer,None,None
1604,23,Brighton Lane,Tracy,Fisher,65,Wife,Married,Female,Race relations officer,None,None
1605,24,Brighton Lane,Janice,Berry,51,Head,Single,Female,Industrial/product designer,None,None
1606,24,Brighton Lane,Clive,Abbott,58,Partner,Single,Male,Unemployed,None,None
1607,24,Brighton Lane,Henry,Berry,32,Son,Divorced,m,Child psychotherapist,None,None
1608,24,Brighton Lane,Jordan,Berry,0,Son,NA,m,Child,None,NA
1609,25,Brighton Lane,Natalie,Jenkins,38,Head,Single,Female,Secondary school teacher,None,None
1610,25,Brighton Lane,Bernard,Hancock,38,Partner,Single,Male,"Engineer, chemical",None,None
1611,25,Brighton Lane,Dennis,Jenkins,6,Son,NA,Male,Student,None,NA
1612,25,Brighton Lane,Christine,Jenkins,4,Daughter,NA,Female,Child,None,NA
1613,26,Brighton Lane,Jacob,Smith,60,Head,Single,m,Database administrator,None,Christian
1614,27,Brighton Lane,Dylan,Little,34,Head,Widowed,Male,Unemployed,None,Muslim
1615,27,Brighton Lane,Nicola,Little,3,Daughter,NA,Female,Child,None,NA
1616,28,Brighton Lane,Aaron,Smith,33,Head,Single,Male,Haematologist,None,Methodist
1617,29,Brighton Lane,Emily,Brown,30,Head,Married,Female,"Scientist, research (physical sciences)",None,None
1618,29,Brighton Lane,Jake,Brown,31,Husband,Married,Male,Outdoor activities/education manager,None,None
1619,29,Brighton Lane,Frances,Brown,14,Daughter,NA,Female,Student,None,NA
1620,29,Brighton Lane,Iain,Brown,9,Son,NA,Male,Student,None,NA
1621,30,Brighton Lane,Billy,Harris,21,Head,Single,Male,University Student,None,None
1622,30,Brighton Lane,Sharon,Clark,19,Partner,Single,Female,University Student,None,None
1623,31,Brighton Lane,Beverley,Watts,103,Head,Married,Female,"Retired Psychologist, clinical",None,Methodist
1624,31,Brighton Lane,Dale,Watts,101,Husband,Married,M,Unemployed,None,None
1625,1,Turner Drives,Jenna,Carter,72,Head,Widowed,female,Unemployed,None,None
1626,1,Turner Drives,Susan,Carter,46,Daughter,Single,Female,Land/geomatics surveyor,None,None
1627,1,Turner Drives,Paige,Carter,46,Daughter,Single,Female,Merchant navy officer,None,None
1628,1,Turner Drives,Christine,Carter,41,Daughter,Single,Female,Unemployed,None,None
1629,1,Turner Drives,Sandra,Carter,40,Daughter,Single,female,Barrister,None,None
1630,2,Turner Drives,Samantha,Griffin,52,Head,Divorced,Female,Unemployed,None,Methodist
1631,2,Turner Drives,Holly,Griffin,19,Daughter,Single,Female,University Student,None,None
1632,3,Turner Drives,Brenda,Marsh,53,Head,Married,Female,Clinical research associate,None,Catholic
1633,3,Turner Drives,Shane,Marsh,54,Husband,Married,Male,Textile designer,None,Catholic
1634,3,Turner Drives,Antony,Marsh,14,Son,NA,m,Student,None,NA
1635,4,Turner Drives,Jenna,Reed,39,Head,Divorced,Female,Higher education careers adviser,None,Catholic
1636,4,Turner Drives,Shannon,Reed,9,Daughter,NA,Female,Student,None,NA
1637,4,Turner Drives,Kimberley,Nolan,6,Daughter,NA,Female,Student,None,NA
1638,5,Turner Drives,Elaine,Anderson,50,Head,Single,Female,"Librarian, public",None,Christian
1639,5,Turner Drives,Gareth,Taylor,25,Son,Single,Male,"Sound technician, broadcasting/film/video",None,None
1640,6,Turner Drives,Mandy,Fitzgerald,34,Head,Divorced,Female,"Surveyor, land/geomatics",None,Methodist
1641,6,Turner Drives,Gillian,Fitzgerald,7,Daughter,NA,Female,Student,None,NA
1642,6,Turner Drives,Owen,Gray,32,Lodger,Divorced,Male,Human resources officer,None,Catholic
1643,7,Turner Drives,Stuart,Green,19,Head,Single,Male,University Student,None,Methodist
1644,7,Turner Drives,Richard,Cook,18,None,Single,Male,University Student,None,Catholic
1645,7,Turner Drives,Lynn,Baker,20,NA,Single,Female,University Student,None,Christian
1646,7,Turner Drives,Karen,Wong,20,None,Single,Female,University Student,None,NA
1647,8,Turner Drives,Maurice,Stevenson,41,Head,Married,Male,Unemployed,None,Muslim
1648,8,Turner Drives,Janice,Stevenson,39,Wife,Married,Female,Clinical molecular geneticist,None,Muslim
1649,8,Turner Drives,Marcus,Stevenson,12,Son,NA,Male,NA,None,NA
1650,9,Turner Drives,Sally,Mills-Phillips,48,Head,Single,Female,Unemployed,None,Catholic
1651,9,Turner Drives,Angela,Mills-Phillips,8,Daughter,NA,Female,Student,None,NA
1652,10,Turner Drives,Brett,Davies,54,Head,Married,Male,Unemployed,None,Christian
1653,10,Turner Drives,Jane,Davies,52,Wife,Married,Female,Marketing executive,None,Christian
1654,10,Turner Drives,Gary,Davies,17,Son,NA,Male,Student,None,NA
1655,10,Turner Drives,Megan,Davies,16,Daughter,NA,Female,Student,None,NA
1656,11,Turner Drives,Rosie,Austin,51,Head,Married,Female,Medical sales representative,None,None
1657,11,Turner Drives,Kevin,Austin,50,Husband,Married,Male,Product designer,Physical Disability,None
1658,11,Turner Drives,Judith,Austin,16,Daughter,NA,Female,Student,None,NA
1659,11,Turner Drives,Adrian,Austin,11,Son,NA,Male,Student,None,NA
1660,11,Turner Drives,Mohammed,Austin,7,Son,NA,Male,Student,None,NA
1661,12,Turner Drives,Frederick,Young,20,Head,Single,Male,University Student,None,Methodist
1662,12,Turner Drives,Harriet,Murphy,19,Partner,Single,Female,University Student,None,None
1663,13,Turner Drives,Anna,Sullivan,52,Head,Married,Female,Water engineer,None,Christian
1664,13,Turner Drives,Trevor,Sullivan,58,Husband,Married,Male,Radio broadcast assistant,None,Christian
1665,14,Turner Drives,Antony,Scott,85,Head,Married,Male,Unemployed,None,Christian
1666,14,Turner Drives,Tracey,Scott,83,Wife,Married,Female,"Retired Librarian, academic",None,None
1667,15,Turner Drives,Jasmine,Bradley,45,Head,Married,Female,Customer service manager,None,Catholic
1668,15,Turner Drives,Arthur,Bradley,47,Husband,Married,Male,Unemployed,None,Catholic
1669,15,Turner Drives,Neil,Bradley,21,Son,Single,Male,University Student,Unknown Infection,None
1670,15,Turner Drives,Sara,NA,12,Daughter,NA,Female,Student,None,NA
1671,16,Turner Drives,Katie,Scott,48,Head,Single,Female,"Doctor, general practice",None,Methodist
1672,16,Turner Drives,Alex,Davies,47,Partner,Single,Male,"Nurse, mental health",None,Methodist
1673,16,Turner Drives,Kevin,Hayes,15,Son,NA,Male,Student,None,NA
1674,17,Turner Drives,Charlie,Allan,46,Head,Married,Male,Comptroller,None,Catholic
1675,17,Turner Drives,Lydia,Allan,49,Wife,Married,Female,"Editor, commissioning",None,None
1676,17,Turner Drives,Darren,Allan,25,Son,Single,Male,"Lighting technician, broadcasting/film/video",None,None
1677,17,Turner Drives,Bryan,Allan,22,Son,Divorced,Male,University Student,None,Catholic
1678,17,Turner Drives,Chelsea,Allan,5,Daughter,NA,Female,Student,None,NA
1679,18,Turner Drives,Hilary,Hawkins,44,Head,Married,Female,"Surveyor, planning and development",None,None
1680,18,Turner Drives,Bradley,Hawkins,47,Husband,Married,Male,"Physicist, medical",None,None
1681,18,Turner Drives,Duncan,Hawkins,15,Son,NA,Male,Student,None,NA
1682,19,Turner Drives,Sam,Evans,66,Head,Single,Male,Immunologist,None,Christian
1683,20,Turner Drives,Paul,Smith,55,Head,Single,Male,Unemployed,None,Christian
1684,21,Turner Drives,Billy,Turner,65,Head,Widowed,Male,Housing manager/officer,None,Christian
1685,22,Turner Drives,Margaret,Smith,37,Head,Married,female,Insurance risk surveyor,None,Catholic
1686,22,Turner Drives,Jacob,Smith,44,Husband,Married,Male,Automotive engineer,None,None
1687,22,Turner Drives,Louis,Smith,NA,Son,NA,Male,Student,None,NA
1688,23,Turner Drives,Claire,Wood,35,Head,Married,Female,Company secretary,None,Catholic
1689,23,Turner Drives,Jeffrey,Wood,37,Husband,Married,Male,Architectural technologist,None,None
1690,23,Turner Drives,Josephine,Wood,9,Daughter,NA,Female,Student,None,NA
1691,24,Turner Drives,Alex,Blake,21,Head,Single,Male,Unemployed,None,None
1692,24,Turner Drives,Donna,Blake,0,Daughter,NA,Female,Child,NA,NA
1693,25,Turner Drives,Lorraine,Stone,31,Head,Widowed,Female,Unemployed,None,Christian
1694,25,Turner Drives,Damien,Stone,1,Son,NA,Male,Child,None,NA
1695,26,Turner Drives,Kenneth,Clark,74,Head,Single,Male,Retired Museum/gallery conservator,None,Catholic
1696,27,Turner Drives,Alexandra,Barker,65,Head,Married,Female,"Engineer, manufacturing",None,None
1697,27,Turner Drives,Wayne,Barker,65,Husband,Married,Male,Multimedia specialist,None,None
1698,28,Turner Drives,Anne,Kelly,36,Head,Single,Female,Unemployed,None,Methodist
1699,28,Turner Drives,Wendy,Kelly,11,Daughter,NA,Female,Student,None,NA
1700,28,Turner Drives,Lisa,Kelly,9,Daughter,NA,Female,Student,None,NA
1701,28,Turner Drives,Henry,Kelly,9,Son,NA,Male,Student,None,NA
1702,28,Turner Drives,Charlotte,Kelly,5,Daughter,NA,Female,Student,None,NA
1703,29,Turner Drives,Brett,Robinson,78,Head,Widowed,Male,Retired Travel agency manager,None,Christian
1704,30,Turner Drives,Julie,Smith,89,Head,Married,Female,Retired Chief Strategy Officer,None,None
1705,30,Turner Drives,Christopher,Smith,94,NA,Married,Male,Retired Air broker,None,None
1706,31,Turner Drives,Victoria,Hughes,28,Head,Divorced,Female,Risk analyst,None,Catholic
1707,31,Turner Drives,Joel,Hughes,4,Son,NA,Male,Child,None,NA
1708,31,Turner Drives,Rachael,Hughes,0,Daughter,NA,Female,Child,None,NA
1709,32,Turner Drives,Michael,Kaur,47,Head,Married,Male,Unemployed,None,None
1710,32,Turner Drives,Amanda,Kaur,43,Wife,Married,Female,Administrator,None,None
1711,33,Turner Drives,Vanessa,Spencer,83.84032661,Head,Single,Female,Retired Chief Financial Officer,None,Methodist
1712,33,Turner Drives,Patrick,Hawkins,7,Grandson,NA,Male,Student,None,NA
1713,34,Turner Drives,Patricia,Davies,57,Head,Single,Female,Unemployed,None,Christian
1714,34,Turner Drives,Stephanie,Davies,25,Daughter,Single,Female,Geophysical data processor,None,Christian
1715,34,Turner Drives,Jemma,Davies,25,Daughter,Single,Female,Learning disability nurse,None,None
1716,34,Turner Drives,Julie,Davies,22,Daughter,Single,Female,University Student,None,None
1717,35,Turner Drives,Hannah,Williams,52,Head,Single,Female,"Physicist, medical",None,Catholic
1718,35,Turner Drives,Brian,Williams,16,Son,NA,Male,Student,None,NA
1719,36,Turner Drives,Hayley,Nicholson,22,Head,Single,Female,University Student,None,None
1720,36,Turner Drives,Leah,Turnbull,21,None,Single,Female,University Student,None,Christian
1721,36,Turner Drives,Joe,Thompson,22,None,Single,Male,University Student,None,Methodist
1722,37,Turner Drives,Kimberley,Johnson,86,Head,Married,Female,Retired Health promotion specialist,None,None
1723,37,Turner Drives,Brandon,Johnson,91,Husband,Married,Male,Retired Psychiatrist,None,None
1724,38,Turner Drives,Gemma,Jennings,45,Head,Divorced,Female,Copy,None,Catholic
1725,39,Turner Drives,Kieran,Cole,92,Head,Married,Male,Retired Social researcher,None,Methodist
1726,39,Turner Drives,Lynn,Cole,88,Wife,Married,Female,Retired Audiological scientist,None,Methodist
1727,40,Turner Drives,Katie,Scott,57,Head,Divorced,Female,Unemployed,None,Christian
1728,40,Turner Drives,Scott,Scott,14,Son,NA,Male,Student,None,NA
1729,41,Turner Drives,Kelly,Smith,46,Head,Married,Female,"Engineer, technical sales",None,Catholic
1730,41,Turner Drives,Bethany,Smith,48,Wife,Married,Female,Primary school teacher,None,Catholic
1731,42,Turner Drives,Barbara,Birch,29,Head,Divorced,Female,"Programmer, applications",None,Christian
1732,42,Turner Drives,Malcolm,Birch,0,Son,NA,Male,Child,None,NA
1733,42,Turner Drives,Lydia,Jenkins,58,Lodger,Divorced,Female,"Horticulturist, commercial",None,Christian
1734,43,Turner Drives,Eileen,Williams,42,Head,Married,female,"Therapist, horticultural",None,None
1735,43,Turner Drives,Billy,Williams,42,Husband,Married,Male,"Lecturer, higher education",None,None
1736,43,Turner Drives,Jamie,Williams,13,Adopted Son,NA,Male,Student,None,NA
1737,44,Turner Drives,Lawrence,Jackson,42,Head,Single,Male,"Investment banker, corporate",None,None
1738,45,Turner Drives,Catherine,Bailey,43,Head,Married,f,Information officer,None,Methodist
1739,45,Turner Drives,Graeme,Bailey,47,Husband,Married,Male,"Engineer, civil (contracting)",None,Methodist
1740,46,Turner Drives,Leslie,White,31,Head,Married,Male,Product/process development scientist,None,None
1741,46,Turner Drives,Lorraine,White,29,Wife,Married,Female,Product/process development scientist,None,None
1742,47,Turner Drives,Francesca,Bryant,65,Head,Married,Female,Structural engineer,None,Christian
1743,47,Turner Drives,Aaron,Bryant,62,Husband,Married,Male,Dealer,None,Christian
1744,48,Turner Drives,Donald,Morgan,70,Head,Married,Male,Retired Chief Technology Officer,None,Christian
1745,48,Turner Drives,Laura,Morgan,65,Wife,Married,Female,Clinical biochemist,None,None
1746,49,Turner Drives,Zoe,Allen,47,Head,Single,Female,Psychiatrist,None,Catholic
1747,50,Turner Drives,Garry,Davis,37,Head,Married,Male,"Administrator, local government",None,Christian
1748,50,Turner Drives,Annette,Davis,34,Wife,Married,Female,"Engineer, materials",None,None
1749,50,Turner Drives,Roger,Davis,5,Son,NA,Male,Student,None,NA
1750,51,Turner Drives,Sian,Ali,50,Head,Married,Female,Print production planner,None,Christian
1751,51,Turner Drives,Dennis,Ali,53,Husband,NA,Male,Merchant navy officer,None,None
1752,51,Turner Drives,Gordon,Ali,10,Son,NA,Male,Student,None,NA
1753,51,Turner Drives,Marcus,Coleman-Ali,7,Son,NA,Male,Student,None,NA
1754,52,Turner Drives,June,Wilson,45,Head,Married,Female,"Sales professional, IT",None,None
1755,52,Turner Drives,Stewart,Wilson,43,Husband,Married,Male,Chief Technology Officer,None,None
1756,53,Turner Drives,Kelly,Carter,57,Head,Married,Female,"Engineer, building services",None,Christian
1757,53,Turner Drives,Gerard,Carter,59,Husband,Married,Male,Environmental health practitioner,None,NA
1758,53,Turner Drives,William,Carter,19,Son,Single,Male,University Student,None,None
1759,53,Turner Drives,Michael,Carter,16,Son,NA,Male,Student,None,NA
1760,54,Turner Drives,Annette,Moore,36,Head,Single,Female,Aeronautical engineer,None,Catholic
1761,54,Turner Drives,Stanley,Bull,38,Partner,NA,Male,"Scientist, forensic",None,None
1762,55,Turner Drives,Marian,John,40,Head,Divorced,Female,Chemical engineer,None,Catholic
1763,55,Turner Drives,Gordon,John,12,Son,NA,Male,Student,None,NA
1764,55,Turner Drives,Carl,John,11,Son,NA,Male,Student,None,NA
1765,55,Turner Drives,Rebecca,John,9,Daughter,NA,Female,Student,None,NA
1766,55,Turner Drives,Rosie,John,8,Daughter,NA,Female,Student,None,NA
1767,56,Turner Drives,Valerie,Baxter,43,Head,Single,Female,Dentist,None,Methodist
1768,57,Turner Drives,Yvonne,Mason,71,Head,Married,Female,Retired Advertising art director,None,Christian
1769,57,Turner Drives,Gary,Mason,73,Husband,Married,M,Retired Translator,None,None
1770,58,Turner Drives,Jayne,Sanderson,70,Head,Married,Female,"Retired Engineer, production",None,None
1771,58,Turner Drives,Mitchell,Sanderson,70,Husband,Married,Male,Retired Environmental health practitioner,None,None
1772,59,Turner Drives,Rita,Allen,40,Head,Divorced,Female,Unemployed,None,None
1773,59,Turner Drives,Derek,Allen,13,Son,NA,Male,Student,None,NA
1774,60,Turner Drives,Dawn,Lloyd,28,Head,Single,Female,Accounting technician,None,Christian
1775,60,Turner Drives,Adrian,Lewis,35,Partner,Single,Male,Retail merchandiser,None,None
1776,1,Lunarspin Road,Aimee,Savage,19,Head,Divorced,Female,University Student,None,None
1777,1,Lunarspin Road,Holly,Watts,48,None,Single,Female,Web designer,None,None
1778,2,Lunarspin Road,Raymond,Howell,47,Head,Single,Male,"Exhibitions officer, museum/gallery",None,None
1779,2,Lunarspin Road,Michelle,Roberts,55,None,Single,Female,Financial trader,None,Christian
1780,3,Lunarspin Road,Marilyn,Ellis,73,Head,Widowed,Female,"Retired Administrator, education",None,Christian
1781,4,Lunarspin Road,Alan,Lowe,28,Head,Single,Male,Audiological scientist,None,None
1782,4,Lunarspin Road,Adrian,Barker,43,None,Single,Male,Office manager,None,Catholic
1783,5,Lunarspin Road,Catherine,Coates,67,Head,Divorced,Female,Arts administrator,None,Christian
1784,6,Lunarspin Road,Kathleen,Moore,73,Head,Widowed,Female,Retired Curator,None,NA
1785,7,Lunarspin Road,Debra,Patel,78,Head,Widowed,Female,Retired Social researcher,None,None
1786,8,Lunarspin Road,Karl,Coles,69,Head,Widowed,Male,Retired Corporate investment banker,None,None
1787,9,Lunarspin Road,Katie,Taylor,30,Head,Single,Female,Unemployed,None,Sikh
1788,9,Lunarspin Road,Jessica,Taylor,1,Daughter,NA,Female,Child,None,NA
1789,10,Lunarspin Road,Janet,Harris,59,Head,Single,Female,Plant breeder/geneticist,None,Christian
1790,11,Lunarspin Road,Matthew,Cross,71,Head,Divorced,Male,Retired Retail banker,None,Christian
1791,11,Lunarspin Road,Barbara,Robinson,15,Granddaughter,NA,Female,Student,None,NA
1792,12,Lunarspin Road,Elliot,Gough,62,Head,Divorced,Male,Chartered management accountant,None,None
1793,13,Lunarspin Road,Ben,Waters,35,Head,Single,Male,Gaffer,None,None
1794,13,Lunarspin Road,Jessica,Waters,14,Daughter,NA,Female,Student,None,NA
1795,14,Lunarspin Road,Maria,Smith,40,Head,Divorced,Female,Sports therapist,None,Jewish
1796,14,Lunarspin Road,Eileen,Smith,16,Daughter,NA,Female,Student,None,NA
1797,15,Lunarspin Road,Jessica,Harrison,53,Head,Married,Female,Estate agent,None,None
1798,15,Lunarspin Road,Jack,Harrison,57,Husband,Married,Male,Unemployed,None,None
1799,15,Lunarspin Road,Reece,Harrison,16,Son,NA,Male,Student,None,NA
1800,16,Lunarspin Road,Donald,James,56,Head,Married,Male,Television/film/video producer,None,None
1801,16,Lunarspin Road,Kelly,James,50,Wife,Married,Female,"Teacher, secondary school",None,None
1802,17,Lunarspin Road,Helen,Thompson,62,Head,Married,Female,Unemployed,None,Methodist
1803,17,Lunarspin Road,Robin,Thompson,67,Husband,Married,Male,"Scientist, marine",None,Methodist
1804,18,Lunarspin Road,Malcolm,Campbell,79,Head,Divorced,Male,"Retired Therapist, horticultural",None,Christian
1805,19,Lunarspin Road,Paige,Johnson,31,Head,Single,Female,Interpreter,None,Catholic
1806,19,Lunarspin Road,Arthur,Johnson,8,Son,NA,Male,Student,None,NA
1807,19,Lunarspin Road,Carole,Johnson,7,Daughter,NA,Female,Student,None,NA
1808,20,Lunarspin Road,Rebecca,Elliott,41,Head,Married,Female,"Administrator, Civil Service",None,Catholic
1809,20,Lunarspin Road,Dylan,Elliott,46,Husband,Married,Male,Technical brewer,None,Catholic
1810,20,Lunarspin Road,Marie,Elliott,NA,Daughter,NA,Female,Student,None,NA
1811,20,Lunarspin Road,Kieran,Elliott,11,Son,NA,Male,Student,None,NA
1812,21,Lunarspin Road,Zoe,Page,63,Head,Married,Female,Energy manager,None,None
1813,21,Lunarspin Road,Joe,Page,62,Husband,Married,Male,"Designer, industrial/product",None,None
1814,21,Lunarspin Road,Graeme,Page,41,Son,Divorced,Male,Trading standards officer,None,None
1815,22,Lunarspin Road,Joshua,Thomson,44,Head,Married,Male,Unemployed,None,Catholic
1816,22,Lunarspin Road,Hannah,Thomson,35,Wife,Married,Female,Unemployed,None,Catholic
1817,23,Lunarspin Road,Ellie,Watts,33,Head,Married,Female,"Doctor, general practice",None,Muslim
1818,23,Lunarspin Road,Kieran,Watts,31,Husband,Married,Male,Merchant navy officer,None,Muslim
1819,23,Lunarspin Road,Sarah,Watts,6,Daughter,NA,Female,Student,None,NA
1820,24,Lunarspin Road,Gillian,Morley,82,Head,Widowed,Female,Retired IT technical support officer,None,Christian
1821,25,Lunarspin Road,Lauren,Barnett,54,Head,Divorced,Female,Environmental education officer,None,Catholic
1822,25,Lunarspin Road,Ian,Barnett,15,Son,NA,m,Student,None,NA
1823,25,Lunarspin Road,Barbara,Barnett,10,Daughter,NA,Female,Student,None,NA
1824,26,Lunarspin Road,George,Williams,41,Head,Single,Male,Dealer,None,Christian
1825,26,Lunarspin Road,Kelly,Jackson,8,Niece,NA,Female,Student,None,NA
1826,27,Lunarspin Road,Terence,Griffiths,70,Head,Single,Male,Retired Civil Service administrator,None,None
1827,28,Lunarspin Road,Iain,Thomas,50,Head,Single,Male,Building control surveyor,None,None
1828,29,Lunarspin Road,Amanda,Patel,91,Head,Divorced,Female,"Retired Engineer, maintenance (IT)",None,Christian
1829,30,Lunarspin Road,Natasha,Morrison,44,Head,Divorced,Female,"Engineer, land",None,Christian
1830,30,Lunarspin Road,Deborah,Morrison,13,Daughter,NA,Female,Student,None,NA
1831,30,Lunarspin Road,Gerard,Morrison,11,Son,NA,Male,Student,None,NA
1832,31,Lunarspin Road,Donald,Brown,35,Head,Divorced,Male,Hospital doctor,None,Catholic
1833,1,Beaver Lodge,Gordon,Newman,55,Head,Divorced,Male,Occupational hygienist,None,Methodist
1834,2,Beaver Lodge,Andrew,Walsh,62,Head,Single,NA,Dealer,None,Methodist
1835,3,Beaver Lodge,Diana,Green,74,Head,Widowed,Female,Retired Accounting technician,None,Catholic
1836,4,Beaver Lodge,Lucy,Smith,51,Head,Divorced,Female,"Librarian, public",None,Catholic
1837,4,Beaver Lodge,William,Smith,25,Son,Widowed,Male,Television camera operator,None,Catholic
1838,4,Beaver Lodge,Billy,Smith,25,Son,Single,Male,"Therapist, nutritional",None,Catholic
1839,4,Beaver Lodge,Martin,Smith,21,Son,Single,Male,Theme park manager,None,Catholic
1840,5,Beaver Lodge,Susan,Whittaker,39,Head,Single,Female,"Producer, television/film/video",None,Christian
1841,6,Beaver Lodge,Callum,Jones,63,Head,Single,Male,Corporate investment banker,None,None
1842,7,Beaver Lodge,Francis,Brown,60,Head,Single,Male,Data scientist,None,Christian
1843,8,Beaver Lodge,Joseph,Thompson,75,Head,Married,Male,Retired Chief Technology Officer,None,Christian
1844,8,Beaver Lodge,Emily,Thompson,68,Wife,Married,Female,Retired Planning and development surveyor,None,Christian
1845,8,Beaver Lodge,Victoria,Thompson,24,Daughter,Single,Female,"Education officer, community",None,Christian
1846,9,Beaver Lodge,Brenda,Gibson,20,Head,Single,Female,University Student,None,None
1847,10,Beaver Lodge,Jane,Preston,20,Head,Married,Female,University Student,None,Catholic
1848,10,Beaver Lodge,Frederick,Preston,21,Husband,Married,Male,Automotive engineer,None,None
1849,11,Beaver Lodge,Conor,Kelly,70,Head,Married,Male,Retired Professor Emeritus,None,Christian
1850,11,Beaver Lodge,Abbie,Kelly,73,Wife,Married,Female,Retired Occupational hygienist,None,None
1851,12,Beaver Lodge,Catherine,Howard,72,Head,Widowed,Female,Retired Magazine features editor,None,Christian
1852,13,Beaver Lodge,Wendy,Law,99,Head,Widowed,Female,Retired English as a second language teacher,None,Christian
1853,NA,Beaver Lodge,David,Perry,84,Head,Single,Male,"Retired Teacher, primary school",None,Methodist
1854,15,Beaver Lodge,Elaine,Williams,48,Head,Married,Female,Osteopath,None,Catholic
1855,15,Beaver Lodge,Eric,Williams,50,Husband,Married,Male,"Radiographer, diagnostic",None,Catholic
1856,15,Beaver Lodge,Leah,Brown,15,Daughter,NA,Female,Student,None,NA
1857,16,Beaver Lodge,Jake,Anderson,86,Head,Divorced,Male,Retired Multimedia programmer,None,None
1858,17,Beaver Lodge,Louis,Davies,45,Head,Single,Male,Newspaper journalist,None,Christian
1859,18,Beaver Lodge,Kathleen,Price,55,Head,Single,Female,Unemployed,None,None
1860,1,Zigzag Drive,Stuart,Barnes,54,Head,Single,Male,Secondary school teacher,None,Christian
1861,1,Zigzag Drive,Terence,Barnes,11,Grandson,NA,Male,Student,None,NA
1862,2,Zigzag Drive,Howard,Osborne,21,Head,Single,Male,Ranger/warden,None,Catholic
1863,3,Zigzag Drive,Conor,Frost,35,Head,Divorced,Male,Probation officer,None,None
1864,4,Zigzag Drive,Mathew,Ryan,51,Head,Married,Male,"Presenter, broadcasting",None,Christian
1865,4,Zigzag Drive,Katie,Ryan,49,Wife,Married,Female,Investment analyst,None,Christian
1866,5,Zigzag Drive,Luke,Jones,63,Head,Single,Male,"Designer, interior/spatial",None,None
1867,5,Zigzag Drive,Deborah,Jones,34,Daughter,Single,Female,Research scientist (maths),None,None
1868,5,Zigzag Drive,Lucy,Jones,34,Daughter,Single,Female,"Scientist, clinical (histocompatibility and immunogenetics)",None,None
1869,6,Zigzag Drive,Kathleen,Bailey,66,Head,Married,Female,Unemployed,None,Christian
1870,6,Zigzag Drive,Rhys,Bailey,69,Husband,Married,Male,Unemployed,None,Christian
1871,7,Zigzag Drive,Chelsea,Frost,31,Head,Married,Female,Food technologist,None,Christian
1872,7,Zigzag Drive,Reece,Frost,33,Husband,Married,Male,Print production planner,None,Christian
1873,7,Zigzag Drive,Maureen,Frost,3,Daughter,NA,Female,Child,None,NA
